,E,Gg,0
0,21.563010427138465,9.290194116231252e-13,8.937313022918432e-15
1,38.92053660173535,1.4585439494169324e-12,1.6378661953516283e-14
2,52.36575126731079,1.3525275174915468e-12,7.402660667612199e-16
3,57.088519635104994,1.669405737472023e-12,4.0418787202748933e-16
4,69.38577896244179,1.6617621480616682e-12,4.094373282749605e-15
5,77.4703856461935,2.0469529565170083e-12,1.5071906948109187e-14
6,78.41489892708903,1.5797226899311452e-12,8.158041492932975e-15
7,88.64324579367502,1.3458178150413462e-12,3.1494142132040706e-15
8,94.62007540141593,2.2739217115661675e-12,1.0850526393090926e-15
9,98.71139519522382,2.129390430473662e-12,4.9906018245865335e-15
10,114.85422888768832,2.305370880678666e-12,1.0715034292471495e-15
11,133.41478113151584,2.317948124155505e-12,1.1771726502158794e-15
12,141.36368009753957,1.8993570904284003e-12,4.252907368851436e-14
13,151.47293927329164,2.025449250754917e-12,1.270091582362913e-15
14,167.72221743448117,1.9608702048676465e-12,2.8296133777751534e-14
15,183.53059235458332,2.5849427094063276e-12,2.2471515543206925e-15
16,190.29793041541464,2.5664346432591697e-12,2.814250556864047e-14
17,195.65325242521646,2.3925071091991384e-12,1.9909179710941307e-15
18,208.84207635634482,3.4404754994060295e-12,1.0678316844605879e-15
19,223.3769111790308,2.9976347575858855e-12,2.9165183053664674e-14
20,234.94528513671335,3.607099977840777e-12,1.4967045142588319e-18
21,240.3981010383911,2.497850209913952e-12,2.1002133054059783e-15
22,248.70404692280292,3.1910682288287236e-12,6.912572605785809e-15
23,264.0934075399451,3.632199885433362e-12,1.5171707489938087e-14
24,272.60599394027844,2.817379740731887e-12,1.6427917182453e-15
25,285.8772567745431,3.649702390903111e-12,7.143127062179557e-19
26,293.97901023083637,4.581084245013598e-12,3.750414334130967e-16
27,303.60588316204326,4.270630494139788e-12,1.1056642367385038e-15
28,312.7461604197586,3.327783127632773e-12,2.519113959090754e-14
29,324.7090728725589,3.2899962805349916e-12,1.592496695836285e-15
30,334.34167562936756,3.644465723468402e-12,2.726543616599369e-15
31,354.63891999158545,3.743271230544549e-12,1.16820231170046e-14
32,375.6989303837164,3.888754055019274e-12,1.203494926618843e-15
33,380.58555737842283,3.877381000242763e-12,8.952802503763016e-14
34,389.00632787149675,3.959538271738587e-12,1.7706623578298523e-17
35,401.26282604380765,4.998561062844214e-12,1.0671207205533805e-14
36,418.8012240148174,4.067421734070989e-12,2.2887740624854427e-15
37,426.90645929099924,4.1125196419869565e-12,3.0171408844802984e-16
38,431.71902689102484,4.160550787229151e-12,3.2154056534678034e-14
39,445.02145410592584,3.377002974017113e-12,1.6161673854209356e-14
40,451.36431475717274,4.4929938129094265e-12,1.954864499285468e-14
41,456.0539006356801,4.010827151925002e-12,5.328240051950332e-14
42,463.62477235668155,4.610905539814234e-12,1.1697866017570921e-17
43,469.12497868760664,6.533982106841319e-12,8.794970757144186e-15
44,471.0451163103278,4.265524431180456e-12,1.5909766996078975e-13
45,475.62720658553604,4.568584110001095e-12,3.2586529604685716e-15
46,478.3922309176181,4.626604677758535e-12,1.3901316397429058e-15
47,484.4753808419673,4.89352624250397e-12,3.80477829710752e-15
48,495.1605859234412,4.5199332902528215e-12,4.743752798165289e-14
49,509.5809221887319,3.985393742892056e-12,4.819137008060616e-14
50,520.3189015556235,4.2347967045384405e-12,2.518991762078565e-15
51,524.5659120705642,4.315680993807833e-12,8.87336544227137e-15
52,539.2270897177156,4.198726443537056e-12,2.019106258363198e-14
53,546.4338615692224,5.802817331398572e-12,2.27284981853502e-14
54,551.9634020326798,4.837110236431313e-12,4.390765097132125e-14
55,554.223438925499,5.363364474968706e-12,7.248297739559885e-17
56,569.902312254024,4.384863019117889e-12,3.219373793680055e-14
57,578.0698358866274,5.555574017974791e-12,7.923937653786597e-15
58,582.3586430002705,4.505855465180576e-12,5.0614766169640106e-15
59,590.7725920625179,4.907135527720981e-12,2.8260808954182625e-14
60,604.315510665636,5.547283664105625e-12,6.180879454564604e-16
