,E,Gg,0
0,6.497148003543378,5.816665331403074e-13,1.2935848533486803e-15
1,14.834682942819814,5.913849802568319e-13,5.433022073377313e-16
2,15.242219431832922,8.279591396867362e-13,8.165908655530907e-19
3,27.91629752674718,1.014313141762085e-12,6.837900844653294e-16
4,37.30466086786399,1.1551056038903197e-12,1.0741451374904725e-14
5,43.82319230898967,9.573705667948297e-13,2.0931973634763647e-16
6,62.47836528072499,2.0257932710907192e-12,1.0394328956394766e-17
7,69.81516864121107,1.7026037921586356e-12,4.174002976984377e-15
8,72.00554639250865,1.4537962324187733e-12,2.871549173725145e-15
9,80.61849995369454,1.3586287262318441e-12,1.507969791298094e-14
10,95.97788702036411,2.0677271397545875e-12,4.9253105248176443e-14
11,109.49238179231742,2.4022880272460897e-12,2.5161698678037114e-16
12,122.43180932040174,1.819196819744725e-12,1.3431218421547537e-16
13,133.29369672620652,2.639047911403961e-12,3.4808186630794746e-15
14,143.71935175406745,2.2603322711877403e-12,6.471597131604638e-15
15,154.77056618839603,2.9768506169882357e-12,4.8113706426952165e-15
16,158.9748902780517,2.0053976443163626e-12,3.0184516527100493e-16
17,160.06472767449736,2.0628957449996193e-12,4.335402037567905e-17
18,164.14756038414419,3.1679248303039544e-12,1.0685897105055226e-14
19,173.97773628430616,2.1993855725852888e-12,4.176287525147189e-14
20,175.30244101578674,2.2903067184440253e-12,4.9385912194745705e-18
21,187.3029859357837,2.8704979960526283e-12,3.810113779227174e-15
22,197.55464108054255,2.928588320133367e-12,1.719749408491907e-16
23,210.4007492497559,3.191953665914454e-12,1.0637867878946394e-15
24,229.29371958871022,2.830735228297452e-12,1.0303703800815712e-14
25,236.53500127163096,3.809876653607346e-12,1.733790921375284e-14
26,237.38533669194703,2.600691587139467e-12,9.081464396990698e-15
27,249.61291796673905,2.6842937698795786e-12,2.964083011611107e-16
28,256.53331472973707,3.3713632806920666e-12,4.562449122809519e-15
29,267.5226875521886,3.272580935487227e-12,3.009398681074591e-14
30,279.2569943316886,3.73308525711174e-12,9.998132616316012e-17
31,291.6626264302024,4.143788696942134e-12,3.0605727150966395e-14
32,300.8928595515461,3.8651077358264325e-12,1.5533349428574354e-14
33,302.2984893582859,2.732976738623529e-12,3.680376453478276e-15
34,310.619330307848,3.2049732188104523e-12,2.246016587582341e-14
35,328.68978403494214,4.040067329729696e-12,3.137265949519721e-14
36,343.1133371753791,3.677102420635976e-12,2.7872362947553895e-14
37,349.07504297379,3.839380787169204e-12,7.99499295150406e-14
38,357.77085162743117,3.31992680183829e-12,7.143439278036846e-15
39,365.8820892622045,4.405367956672383e-12,6.850995995517955e-14
40,370.1670485195459,3.2513151882265998e-12,2.7579196807091917e-14
41,371.6543773735888,3.789731805882526e-12,1.0097907872891671e-14
42,375.2879800588878,3.4388251213015735e-12,1.6504453838504293e-14
43,381.93488932347907,3.7821015754660915e-12,3.433500060198071e-15
44,392.6022751588743,5.518493242789103e-12,1.458720652547736e-14
45,402.2694862640062,3.367501221171656e-12,2.3366586767789747e-15
46,408.4699279716791,3.987883028418594e-12,1.027989202344996e-14
47,414.0740319538543,3.116961512137267e-12,3.59891878711848e-15
48,419.32890717256555,5.3778301250185805e-12,9.083795270350971e-16
49,420.92145302693126,3.24691148024967e-12,4.655009675664002e-15
50,423.4523723140406,2.6841545165435345e-12,2.965948923696497e-15
51,437.18181619211214,3.654072002482849e-12,8.812600559107184e-15
52,440.20005576445647,4.418633309547486e-12,2.1314232607185416e-14
53,451.0184985342533,4.9879272642242505e-12,2.9901918159421114e-14
54,460.60663400273694,4.612285811461535e-12,9.255866679385067e-17
55,467.4122641660967,5.005545021463334e-12,1.9031527054589593e-14
56,478.9539659075632,4.393176143195953e-12,1.821953397092989e-15
57,493.5358802843747,3.409736671586163e-12,3.227943682425479e-14
58,502.58385570593623,4.452972168290288e-12,5.8912745919392646e-15
59,510.93475409536666,3.996889971116096e-12,6.250930424178523e-14
60,516.3331921547666,5.150604038568033e-12,2.9834580539349594e-15
61,523.2905199818135,4.183597272943043e-12,2.585574931666567e-14
62,527.6067750815142,5.149776856537745e-12,7.908744385843228e-15
63,532.5291465061812,4.452577571144651e-12,1.7331110316730583e-15
64,541.2009364787364,6.128492467664952e-12,1.108271976466818e-14
65,545.6814943526194,5.067807774856761e-12,7.61049786791109e-15
66,553.010423942269,4.83798484521282e-12,3.569402367885596e-15
67,561.6286614049932,5.298626707156102e-12,8.911547153069678e-15
68,564.9188980115842,4.327238508605573e-12,6.232016484653609e-14
69,575.7160446729898,5.552192877454514e-12,9.633100478891388e-15
70,582.1701582692618,5.106582298153542e-12,1.53599448955261e-14
71,592.5610801283206,4.094422910782007e-12,1.0441398083523592e-14
72,603.8517527266072,5.345661472107831e-12,4.5384772826025434e-14
